State,CMS Certification Number (CCN)*,City,Zip,Phone,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Date Certified,How often the home health team began their patients care in a timely manner,How often the home health team taught patients (or their family caregivers) about their drugs,How often the home health team checked patients risk of falling,How often the home health team checked patients for depression,How often the home health team made sure that their patients have received a flu shot for the current flu season.,How often the home health team made sure that their patients have received a pneumococcal vaccine (pneumonia shot).,With diabetes - how often the home health team got doctors orders and gave foot care and taught patients about foot care,How often the home health team checked patients for pain,How often the home health team treated their patients pain,How often the home health team took doctor-ordered action to prevent pressure sores (bed sores),How often the home health team checked patients for the risk of developing pressure sores (bed sores),Count of non-reported behaviours,How often patients got better at walking or moving around,How often patients got better at getting in and out of bed,How often patients got better at bathing,How often patients had less pain when moving around,How often patients breathing improved,How often patients wounds improved or healed after an operation,How often patients got better at taking their drugs correctly by mouth,How often patients receiving home health care needed urgent unplanned care in the ER without being admitted,How often home health patients had to be admitted to the hospital,Count of non-reported outcomes,Non-trad Chronic,Lbl: Poor Hosp Rating 1SD,Lbl: Poor Hosp Rating 2SD,Lbl: Poor ER Rating 1SD,Lbl: Poor ER Rating 2SD,Lbl: Poor Pain Rating 1SD,Lbl: Poor Pain Rating 2SD,Lbl: Poor Drugs Rating 1SD,Lbl: Poor Drugs Rating 2SD
2,17008,BESSEMER,35020,2059169500,1,1,1,1,1,1,1,10/01/1972,95,95,100,100,59,67,99,99,100,99,99,0,62,53,64,74,53,100,43,17,19,0,0,0,0,1,0,0,0,0,0
2,17009,BIRMINGHAM,35216,2058242680,2,1,1,1,1,1,1,01/18/1973,93,97,100,100,76,81,98,100,99,98,100,0,71,64,77,72,74,91,64,11,18,0,0,0,0,0,0,0,0,0,0
2,17013,ENTERPRISE,36330,3343470234,2,1,1,1,0,0,1,07/24/1975,98,95,100,100,69,69,97,100,99,98,100,0,59,48,62,64,58,84,46,13,15,0,0,0,0,0,0,0,0,0,0
2,17014,ONEONTA,35121,2052744919,2,1,1,1,1,1,0,09/04/1975,93,94,96,96,94,96,93,99,95,89,96,0,67,53,74,67,74,97,65,16,18,0,0,0,0,0,0,0,0,0,0
2,17016,ENTERPRISE,36330,3347940591,2,1,1,1,1,1,1,06/09/1976,99,98,100,99,74,78,98,100,99,97,99,0,69,54,74,74,64,89,55,14,17,0,0,0,0,0,0,0,0,0,0
2,17018,RAINBOW CITY,35906,2564421138,2,1,1,1,1,1,1,01/01/1977,93,87,100,99,78,80,89,100,95,94,99,0,74,63,79,66,70,97,60,13,17,0,0,0,0,0,0,0,0,0,0
2,17020,MOBILE,36609,2513800492,2,1,1,1,1,1,1,05/23/1977,94,86,93,98,71,64,95,100,99,99,100,0,71,58,76,71,78,90,63,8,19,0,0,0,0,0,0,0,0,0,0
2,17024,DOTHAN,36301,3347940591,2,1,1,1,1,1,1,06/01/1978,98,98,100,99,83,83,99,100,100,99,99,0,72,59,77,73,69,97,69,12,17,0,0,0,0,0,0,0,0,0,0
2,17025,MOBILE,36609,2513439600,2,1,1,1,1,1,1,12/28/1978,92,95,99,90,47,43,97,98,99,98,99,0,68,56,72,62,71,93,59,7,19,0,0,0,0,0,0,0,0,0,0
2,17026,BIRMINGHAM,35244,2057397800,2,1,1,1,1,1,1,03/29/1979,85,95,99,99,71,73,90,100,99,87,99,0,63,60,64,76,71,88,57,10,17,0,0,0,0,0,0,0,0,0,0
